term	go_id	family
'De Novo' Post-Translational Protein Folding (GO:0051084)	GO:0051084	cellular organization
3'-UTR-mediated mRNA Destabilization (GO:0061158)	GO:0061158	regulation of DNA-templated transcription
3'-UTR-mediated mRNA Stabilization (GO:0070935)	GO:0070935	regulation of DNA-templated transcription
ATP Biosynthetic Process (GO:0006754)	GO:0006754	metabolic process
ATP Metabolic Process (GO:0046034)	GO:0046034	metabolic process
Actin Filament-Based Transport (GO:0099515)	GO:0099515	transmembrane transport
Acylglycerol Metabolic Process (GO:0006639)	GO:0006639	metabolic process
Aerobic Electron Transport Chain (GO:0019646)	GO:0019646	metabolic process
Aerobic Respiration (GO:0009060)	GO:0009060	metabolic process
Alpha-Beta T Cell Activation (GO:0046631)	GO:0046631	immune — activation
Amide Transport (GO:0042886)	GO:0042886	transmembrane transport
Amino Acid Import Across Plasma Membrane (GO:0089718)	GO:0089718	transmembrane transport
Amino Acid Transport (GO:0006865)	GO:0006865	metabolic process
Amyloid Precursor Protein Catabolic Process (GO:0042987)	GO:0042987	metabolic process
Anaphase-Promoting Complex-Dependent Catabolic Process (GO:0031145)	GO:0031145	cellular organization
Anterograde Synaptic Vesicle Transport (GO:0048490)	GO:0048490	cellular organization
Antibacterial Humoral Response (GO:0019731)	GO:0019731	defense response to other organism
Antigen Processing And Presentation Of Endogenous Peptide Antigen (GO:0002483)	GO:0002483	immune — antigen presentation
Antigen Processing And Presentation Of Endogenous Peptide Antigen Via MHC Class I Via ER Pathway (GO:0002484)	GO:0002484	immune — antigen presentation
Antigen Processing And Presentation Of Endogenous Peptide Antigen Via MHC Class I Via ER Pathway, TAP-independent (GO:0002486)	GO:0002486	immune — antigen presentation
Antigen Processing And Presentation Of Endogenous Peptide Antigen Via MHC Class Ib (GO:0002476)	GO:0002476	immune — antigen presentation
Antigen Processing And Presentation Of Exogenous Peptide Antigen (GO:0002478)	GO:0002478	immune — antigen presentation
Antigen Processing And Presentation Of Exogenous Peptide Antigen Via MHC Class II (GO:0019886)	GO:0019886	immune — antigen presentation
Antigen Processing And Presentation Of Peptide Antigen Via MHC Class I (GO:0002474)	GO:0002474	immune — antigen presentation
Antigen Processing And Presentation Of Peptide Antigen Via MHC Class II (GO:0002495)	GO:0002495	immune — antigen presentation
Antigen Processing And Presentation Of Peptide Antigen Via MHC Class Ib (GO:0002428)	GO:0002428	immune — antigen presentation
Antigen Receptor-Mediated Signaling Pathway (GO:0050851)	GO:0050851	immune — other
Antimicrobial Humoral Response (GO:0019730)	GO:0019730	defense response to other organism
Antiviral Innate Immune Response (GO:0140374)	GO:0140374	defense response to other organism
Apoptotic Mitochondrial Changes (GO:0008637)	GO:0008637	cellular organization
Apoptotic Process (GO:0006915)	GO:0006915	programmed cell death
Astrocyte Activation (GO:0048143)	GO:0048143	cell differentiation
Astrocyte Development (GO:0014002)	GO:0014002	anatomical structure development
Attachment Of Mitotic Spindle Microtubules To Kinetochore (GO:0051315)	GO:0051315	cell cycle
Autophagosome Assembly (GO:0000045)	GO:0000045	cellular organization
Autophagosome Maturation (GO:0097352)	GO:0097352	cellular organization
Autophagosome Organization (GO:1905037)	GO:1905037	anatomical structure development
Axonal Transport (GO:0098930)	GO:0098930	cellular organization
B Cell Receptor Signaling Pathway (GO:0050853)	GO:0050853	immune — other
Base Conversion Or Substitution Editing (GO:0016553)	GO:0016553	regulation of DNA-templated transcription
Blood Vessel Endothelial Cell Migration (GO:0043534)	GO:0043534	cell motility
Blood Vessel Morphogenesis (GO:0048514)	GO:0048514	anatomical structure development
COPII Vesicle Coating (GO:0048208)	GO:0048208	cellular organization
Canonical Wnt Signaling Pathway (GO:0060070)	GO:0060070	anatomical structure development
Carbohydrate Catabolic Process (GO:0016052)	GO:0016052	metabolic process
Carboxylic Acid Transport (GO:0046942)	GO:0046942	transmembrane transport
Cardiac Ventricle Morphogenesis (GO:0003208)	GO:0003208	anatomical structure development
Cell Migration Involved In Sprouting Angiogenesis (GO:0002042)	GO:0002042	cell motility
Cellular Respiration (GO:0045333)	GO:0045333	metabolic process
Cellular Response To Arsenic-Containing Substance (GO:0071243)	GO:0071243	other biological process
Cellular Response To Cadmium Ion (GO:0071276)	GO:0071276	other biological process
Cellular Response To Catecholamine Stimulus (GO:0071870)	GO:0071870	metabolic process
Cellular Response To Chemokine (GO:1990869)	GO:1990869	immune — other
Cellular Response To Copper Ion (GO:0071280)	GO:0071280	other biological process
Cellular Response To Corticosteroid Stimulus (GO:0071384)	GO:0071384	metabolic process
Cellular Response To Cytokine Stimulus (GO:0071345)	GO:0071345	immune — other
Cellular Response To Decreased Oxygen Levels (GO:0036294)	GO:0036294	other biological process
Cellular Response To Epidermal Growth Factor Stimulus (GO:0071364)	GO:0071364	signaling — growth factor
Cellular Response To Fibroblast Growth Factor Stimulus (GO:0044344)	GO:0044344	signaling — growth factor
Cellular Response To Glucocorticoid Stimulus (GO:0071385)	GO:0071385	metabolic process
Cellular Response To Glucose Starvation (GO:0042149)	GO:0042149	metabolic process
Cellular Response To Growth Factor Stimulus (GO:0071363)	GO:0071363	signaling — growth factor
Cellular Response To Heat (GO:0034605)	GO:0034605	other biological process
Cellular Response To Hydrogen Peroxide (GO:0070301)	GO:0070301	other biological process
Cellular Response To Hypoxia (GO:0071456)	GO:0071456	other biological process
Cellular Response To Inorganic Substance (GO:0071241)	GO:0071241	anatomical structure development
Cellular Response To Insulin Stimulus (GO:0032869)	GO:0032869	metabolic process
Cellular Response To Interferon-Beta (GO:0035458)	GO:0035458	immune — other
Cellular Response To Interleukin-1 (GO:0071347)	GO:0071347	immune — cytokine
Cellular Response To Interleukin-15 (GO:0071350)	GO:0071350	immune — cytokine
Cellular Response To Lipid (GO:0071396)	GO:0071396	metabolic process
Cellular Response To Lipopolysaccharide (GO:0071222)	GO:0071222	metabolic process
Cellular Response To Metal Ion (GO:0071248)	GO:0071248	other biological process
Cellular Response To Misfolded Protein (GO:0071218)	GO:0071218	other biological process
Cellular Response To Molecule Of Bacterial Origin (GO:0071219)	GO:0071219	other biological process
Cellular Response To Nerve Growth Factor Stimulus (GO:1990090)	GO:1990090	signaling — growth factor
Cellular Response To Nitrogen Compound (GO:1901699)	GO:1901699	other biological process
Cellular Response To Organic Cyclic Compound (GO:0071407)	GO:0071407	anatomical structure development
Cellular Response To Oxidative Stress (GO:0034599)	GO:0034599	metabolic process
Cellular Response To Oxygen-Containing Compound (GO:1901701)	GO:1901701	other biological process
Cellular Response To Peptide Hormone Stimulus (GO:0071375)	GO:0071375	metabolic process
Cellular Response To Reactive Oxygen Species (GO:0034614)	GO:0034614	metabolic process
Cellular Response To Salt (GO:1902075)	GO:1902075	other biological process
Cellular Response To Starvation (GO:0009267)	GO:0009267	other biological process
Cellular Response To Superoxide (GO:0071451)	GO:0071451	other biological process
Cellular Response To Transforming Growth Factor Beta Stimulus (GO:0071560)	GO:0071560	signaling — growth factor
Cellular Response To Tumor Necrosis Factor (GO:0071356)	GO:0071356	signaling — immune
Cellular Response To Type I Interferon (GO:0071357)	GO:0071357	immune — other
Cellular Response To Type II Interferon (GO:0071346)	GO:0071346	immune — other
