family	color
DNA repair	#1f77b4
amino acid metabolic process	#aec7e8
anatomical structure development	#ff7f0e
carbohydrate metabolic process	#ffbb78
cell adhesion	#2ca02c
cell cycle	#98df8a
cell differentiation	#d62728
cell motility	#ff9896
cellular organization	#e7cb94
chromatin organization	#9467bd
cytoskeleton organization	#c5b0d5
defense response to other organism	#8c564b
generation of precursor metabolites and energy	#c49c94
immune system process	#e377c2
immune — activation	#843c39
immune — antigen presentation	#ad494a
immune — cytokine	#d6616b
immune — other	#e7969c
lipid metabolic process	#f7b6d2
mRNA metabolic process	#7f7f7f
membrane organization	#c7c7c7
metabolic process	#7b4173
microtubule-based movement	#bcbd22
mitochondrion organization	#dbdb8d
nervous system process	#17becf
nucleobase-containing small molecule metabolic process	#9edae5
other biological process	#393b79
programmed cell death	#5254a3
protein folding	#6b6ecf
protein-containing complex assembly	#9c9ede
regulation of DNA-templated transcription	#637939
signaling — growth factor	#8ca252
signaling — immune	#b5cf6b
signaling — metabolic	#cedb9c
signaling — other	#8c6d31
transmembrane transport	#bd9e39
vesicle-mediated transport	#e7ba52
