term	exclusion_reason
African trypanosomiasis	Parasitic infection (off-target for GBM)
Amoebiasis	Parasitic infection (off-target for GBM)
Amphetamine addiction	Substance abuse / behavioral
Arrhythmogenic right ventricular cardiomyopathy	Cardiac / muscle physiology
Cardiac muscle contraction	Cardiac / muscle physiology
Chagas disease	Parasitic infection (off-target for GBM)
Cocaine addiction	Substance abuse / behavioral
Leishmaniasis	Parasitic infection (off-target for GBM)
Malaria	Parasitic infection (off-target for GBM)
Mineral absorption	Organ-specific secretion / absorption
Toxoplasmosis	Parasitic infection (off-target for GBM)
Vasopressin-regulated water reabsorption	Organ-specific secretion / absorption
